roman,titreLabel,date_de_publication,nombre_de_pages,authorLabel
http://www.wikidata.org/entity/Q109359575,,,,Yū Anekōji
http://www.wikidata.org/entity/Q109359801,,,,Kō Machida
http://www.wikidata.org/entity/Q109360121,,,,Shirō Kuro
http://www.wikidata.org/entity/Q109360763,,,,Kazuo Hirotsu
http://www.wikidata.org/entity/Q109360856,,,,Nobuo Kojima
http://www.wikidata.org/entity/Q109361271,,,,Kyūsaku Yumeno
http://www.wikidata.org/entity/Q109361397,,,,Tsumao Awasaka
http://www.wikidata.org/entity/Q109361641,,,,
http://www.wikidata.org/entity/Q109362346,,1988-01-01T00:00:00Z,,Yoichi Funado
http://www.wikidata.org/entity/Q109362671,,,,Yoichi Funado
http://www.wikidata.org/entity/Q109362938,この気持ちもいつか忘れる,,,Yoru Sumino
http://www.wikidata.org/entity/Q109363921,,,,Mie Takase
http://www.wikidata.org/entity/Q109364341,,,,Shō Shibata
http://www.wikidata.org/entity/Q109364343,,,,Abe Kōbō
http://www.wikidata.org/entity/Q109364461,,,,
http://www.wikidata.org/entity/Q109365321,,,,Kōji Abe
http://www.wikidata.org/entity/Q109366059,,,,Kyotaro Nishimura
http://www.wikidata.org/entity/Q109366060,,,,Nowaki Fukamidori
http://www.wikidata.org/entity/Q109366078,,,,Takatarō Kigi
http://www.wikidata.org/entity/Q109367405,,,,
http://www.wikidata.org/entity/Q109367877,,,,Yoichi Funado
http://www.wikidata.org/entity/Q109368324,,,,Junjō Shindō
http://www.wikidata.org/entity/Q109408499,"Prinz William, Maximilian Minsky und ich",2002-01-01T00:00:00Z,,Holly-Jane Rahlens
http://www.wikidata.org/entity/Q109409373,,2014-01-01T00:00:00Z,,Susan Kreller
http://www.wikidata.org/entity/Q109431206,,,,Nhật Ánh Nguyêñ
http://www.wikidata.org/entity/Q109432947,,1986-01-01T00:00:00Z,,Ahmad Tohari
http://www.wikidata.org/entity/Q109434200,Adriana: Labirin Cinta di Kilometer Nol,2010-01-01T00:00:00Z,,Fajar Nugros
http://www.wikidata.org/entity/Q109436250,Quando le montagne cantano,,,Nguyễn Phan Quế Mai
http://www.wikidata.org/entity/Q109447769,Skin of the Sea,2021-11-02T00:00:00Z,,Natasha Bowen
http://www.wikidata.org/entity/Q109594421,,,,
http://www.wikidata.org/entity/Q109594514,,,,
http://www.wikidata.org/entity/Q109595281,,,,
http://www.wikidata.org/entity/Q109595463,,,,
http://www.wikidata.org/entity/Q109596173,,,,
http://www.wikidata.org/entity/Q109596561,,,,
http://www.wikidata.org/entity/Q109596656,,2018-06-28T00:00:00Z,,Shinzō Mitsuda
http://www.wikidata.org/entity/Q109596667,,,,Takashi Yanase
http://www.wikidata.org/entity/Q109596677,,,,
http://www.wikidata.org/entity/Q109596874,,,,Manabu Makime
http://www.wikidata.org/entity/Q109596965,,,,Hideyuki Kikuchi
http://www.wikidata.org/entity/Q109597002,,,,Brian Lumley
http://www.wikidata.org/entity/Q109597442,,,,Shō Tatsumiya
http://www.wikidata.org/entity/Q109597819,,,,Kaoru Yukinari
http://www.wikidata.org/entity/Q109598486,,,,Kazuki Kaneshiro
http://www.wikidata.org/entity/Q109599140,,,,
http://www.wikidata.org/entity/Q109599257,,1917-01-01T00:00:00Z,,Ryūnosuke Akutagawa
http://www.wikidata.org/entity/Q109599464,電車を止めるな!,,,
http://www.wikidata.org/entity/Q109599777,,,,Fumie Kondō
http://www.wikidata.org/entity/Q109599944,,,,Madoka Takadono
http://www.wikidata.org/entity/Q109599972,,,,Masahiko Shimada
http://www.wikidata.org/entity/Q109600734,,,,Michiyo Kikuta
http://www.wikidata.org/entity/Q109600856,,,,Yang Sok-il
http://www.wikidata.org/entity/Q109601278,,,,
http://www.wikidata.org/entity/Q109601859,,,,Osamu Dazai
http://www.wikidata.org/entity/Q109601865,,2021-07-30T00:00:00Z,,Masahiro Imamura
http://www.wikidata.org/entity/Q109603288,,,,Nishio Ishin
http://www.wikidata.org/entity/Q17562770,Skaza,2006-01-01T00:00:00Z,,Magdalena Tulli
http://www.wikidata.org/entity/Q17631903,,1906-01-01T00:00:00Z,,Yambo
http://www.wikidata.org/entity/Q17639435,,2000-01-01T00:00:00Z,,Lee Child
http://www.wikidata.org/entity/Q18176460,La montagna d'oro,1901-01-01T00:00:00Z,,Emilio Salgari
http://www.wikidata.org/entity/Q18236962,,,,Manuel Scorza
http://www.wikidata.org/entity/Q18390054,,1971-01-01T00:00:00Z,,Ellery Queen
http://www.wikidata.org/entity/Q18407139,Няма нищо по-хубаво от лошото време,1968-01-01T00:00:00Z,,Bogomil Raïnov
http://www.wikidata.org/entity/Q18418764,,2014-01-01T00:00:00Z,,Ben Pastor
http://www.wikidata.org/entity/Q18456497,,2014-03-06T00:00:00Z,,
http://www.wikidata.org/entity/Q18858492,斯文變相,,,
http://www.wikidata.org/entity/Q18880605,,,,Hwang Sun-mi
http://www.wikidata.org/entity/Q18987449,"ছবির দেশে, কবিতার দেশে",1991-01-01T00:00:00Z,,Sunil Gangopadhyay
http://www.wikidata.org/entity/Q19089527,,1951-01-01T00:00:00Z,,James H. Street
http://www.wikidata.org/entity/Q19435909,,,,Emilia Pardo Bazán
http://www.wikidata.org/entity/Q19523729,Bludné duše,,,Václav Beneš Třebízský
http://www.wikidata.org/entity/Q19524363,Dekret Kutnohorský,,,Josef Kajetán Tyl
http://www.wikidata.org/entity/Q19525189,Duše továrny,1894-01-01T00:00:00Z,,Matěj Anastasia Šimáček
http://www.wikidata.org/entity/Q19526896,Kašpar Lén,1905-10-06T00:00:00Z,,Karel Matěj Čapek-Chod
http://www.wikidata.org/entity/Q19528773,Na šachtě,,,František Sokol-Tůma
http://www.wikidata.org/entity/Q19530653,Pravý výlet pana Broučka do Měsíce,,,Svatopluk Čech
http://www.wikidata.org/entity/Q19531502,Robinson čili Osudy a dobrodružství anglické rodiny v šírých stepích severní Ameriky zabloudilé,,,Thomas Mayne Reid
http://www.wikidata.org/entity/Q19531502,Robinson čili Osudy a dobrodružství anglické rodiny v šírých stepích severní Ameriky zabloudilé,,,František Antonín Zeman
http://www.wikidata.org/entity/Q19531502,Robinson čili Osudy a dobrodružství anglické rodiny v šírých stepích severní Ameriky zabloudilé,,,Josef Vojtech Houska
http://www.wikidata.org/entity/Q19531855,Skláři,,,Karel Klostermann
http://www.wikidata.org/entity/Q19534942,Vlastencové z Boudy,1877-01-01T00:00:00Z,,Josef Jiří Stankovský
http://www.wikidata.org/entity/Q19599468,,1994-01-01T00:00:00Z,,Iain Pears
http://www.wikidata.org/entity/Q19606269,,,,Geneviève Dormann
http://www.wikidata.org/entity/Q19622938,,2014-01-01T00:00:00Z,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q19670901,,,,Hr̥dayacandasiṃha Pradhāna
http://www.wikidata.org/entity/Q19682487,माधवी,1983-01-01T00:00:00Z,,Madan Mani Dixit
http://www.wikidata.org/entity/Q19704434,,,,Iida Rauma
http://www.wikidata.org/entity/Q19811115,ரங்கோன் ராதா,1947-01-01T00:00:00Z,192,Conjeevaram Natarajan Annadurai
http://www.wikidata.org/entity/Q19852707,,,,Fishman The Second
http://www.wikidata.org/entity/Q19855764,,,,Tangjia Sanshao
http://www.wikidata.org/entity/Q19977709,,,,Fredrik Ström
http://www.wikidata.org/entity/Q20461728,Sesuci Kasih Ibu,,,Rejab F.I.
http://www.wikidata.org/entity/Q20501145,,,,
http://www.wikidata.org/entity/Q20501167,,1979-01-01T00:00:00Z,,Valentin Pikul'
http://www.wikidata.org/entity/Q20501186,,,,
http://www.wikidata.org/entity/Q20501303,,,,
http://www.wikidata.org/entity/Q20666450,,,,Jean d'Ormesson
http://www.wikidata.org/entity/Q20972545,,,,Jean d'Ormesson
http://www.wikidata.org/entity/Q21035931,,2014-01-01T00:00:00Z,,Wally Lamb
http://www.wikidata.org/entity/Q21189997,,2015-01-01T00:00:00Z,,Antonio Manzini
http://www.wikidata.org/entity/Q21190073,,2015-01-01T00:00:00Z,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q21322954,Women of Owu,2006-01-01T00:00:00Z,,Femi Osofisan
http://www.wikidata.org/entity/Q21576522,묘지,1924-08-01T00:00:00Z,,Yom Sang-seop
http://www.wikidata.org/entity/Q21576522,만세전,1924-08-01T00:00:00Z,,Yom Sang-seop
http://www.wikidata.org/entity/Q21576522,묘지,1948-02-01T00:00:00Z,,Yom Sang-seop
http://www.wikidata.org/entity/Q21576522,만세전,1948-02-01T00:00:00Z,,Yom Sang-seop
http://www.wikidata.org/entity/Q21874597,,1927-01-01T00:00:00Z,,Storm Jameson
http://www.wikidata.org/entity/Q21875045,,1957-01-01T00:00:00Z,,Storm Jameson
http://www.wikidata.org/entity/Q21875170,,1968-01-01T00:00:00Z,,Storm Jameson
http://www.wikidata.org/entity/Q22125402,,1987-01-01T00:00:00Z,,Shizuko Tōdō
http://www.wikidata.org/entity/Q22263543,,2011-01-01T00:00:00Z,,Erri De Luca
http://www.wikidata.org/entity/Q22263545,,2015-01-01T00:00:00Z,,Pierdomenico Baccalario
http://www.wikidata.org/entity/Q22263556,Terre Selvagge,2014-01-01T00:00:00Z,,Sebastiano Vassalli
http://www.wikidata.org/entity/Q23538340,Мир по Новикову,2006-01-01T00:00:00Z,,Andrei Gusev
http://www.wikidata.org/entity/Q24574726,,1923-01-01T00:00:00Z,,Edgar Wallace
http://www.wikidata.org/entity/Q24894877,,,,
http://www.wikidata.org/entity/Q25217435,Carnival,2006-11-28T00:00:00Z,,Elizabeth Bear
http://www.wikidata.org/entity/Q25413124,,1979-01-01T00:00:00Z,,Jerzy Krzysztoń
http://www.wikidata.org/entity/Q25418488,,2020-12-09T00:00:00Z,,Nhật Ánh Nguyêñ
http://www.wikidata.org/entity/Q25463040,,,,
http://www.wikidata.org/entity/Q25526186,,,,
http://www.wikidata.org/entity/Q25565611,The Store that Mama Built,1992-01-01T00:00:00Z,,Robert Lehrman
http://www.wikidata.org/entity/Q25588251,,1988-01-01T00:00:00Z,,Shirshendu Mukhopadhyay
http://www.wikidata.org/entity/Q25645099,,,,
http://www.wikidata.org/entity/Q26258747,,2013-01-01T00:00:00Z,,Siri Pettersen
http://www.wikidata.org/entity/Q26964775,How I Left The National Grid,2015-01-01T00:00:00Z,,Guy Mankowski
http://www.wikidata.org/entity/Q27961057,,1994-01-01T00:00:00Z,,Bianca Pitzorno
http://www.wikidata.org/entity/Q28038922,,,,
http://www.wikidata.org/entity/Q28096756,What Belongs to You,,194,Garth Greenwell
http://www.wikidata.org/entity/Q28670268,,2013-01-01T00:00:00Z,,Carlo Lucarelli
http://www.wikidata.org/entity/Q28671581,,2008-01-01T00:00:00Z,,Albert Espinosa Puig
http://www.wikidata.org/entity/Q28690009,,2007-08-06T00:00:00Z,,Miyuki Miyabe
http://www.wikidata.org/entity/Q28711587,,1900-01-01T00:00:00Z,,Marian Vayreda i Vila
http://www.wikidata.org/entity/Q29254891,,2015-10-01T00:00:00Z,350,Kikuko Tsumura
http://www.wikidata.org/entity/Q29649673,Seven Surrenders,2017-02-01T00:00:00Z,,Ada Palmer
http://www.wikidata.org/entity/Q30766218,,,,Erckmann-Chatrian
http://www.wikidata.org/entity/Q30887885,,,,
http://www.wikidata.org/entity/Q30894390,,2014-01-01T00:00:00Z,,Ahmed Nagi
http://www.wikidata.org/entity/Q30900601,,2016-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q30933592,,,,Keiichirō Hirano
http://www.wikidata.org/entity/Q30940687,,2005-05-20T00:00:00Z,,Tong Fang Po
http://www.wikidata.org/entity/Q31354596,მსხლების მინდორი,2015-05-11T00:00:00Z,,Nana Ekvtimishvili
http://www.wikidata.org/entity/Q31683013,,1898-01-01T00:00:00Z,,Stephen Crane
http://www.wikidata.org/entity/Q31707500,,,,
http://www.wikidata.org/entity/Q31734913,,1995-01-01T00:00:00Z,,Roger Manderscheid
http://www.wikidata.org/entity/Q31734916,,1991-01-01T00:00:00Z,,Roger Manderscheid
http://www.wikidata.org/entity/Q31795806,Хоёр хар буурын туурь,1970-01-01T00:00:00Z,,D. Maam
http://www.wikidata.org/entity/Q31896051,,,,Anna-Lisa Bäckman
http://www.wikidata.org/entity/Q33011916,All That I Have,2009-01-01T00:00:00Z,,Castle Freeman
http://www.wikidata.org/entity/Q42191460,El inglés de los güesos,,,Benito Lynch
http://www.wikidata.org/entity/Q42192616,,,,Sholem Asch
http://www.wikidata.org/entity/Q42193640,Obyčejný život,1985-01-01T00:00:00Z,,Karel Čapek
http://www.wikidata.org/entity/Q42526317,,2017-01-01T00:00:00Z,,Pétros Márkaris
http://www.wikidata.org/entity/Q47470254,세종대왕,1969-03-01T00:00:00Z,,Park Chong-hwa
http://www.wikidata.org/entity/Q48798438,Season of Crimson Blossoms,2015-01-01T00:00:00Z,,Abubakar Adam Ibrahim
http://www.wikidata.org/entity/Q48834802,,1998-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q6533708,,,,
http://www.wikidata.org/entity/Q7065918,,1942-01-01T00:00:00Z,,Jim Thompson
http://www.wikidata.org/entity/Q7261426,Purple Hibiscus,2003-10-01T00:00:00Z,,Chimamanda Ngozi Adichie
http://www.wikidata.org/entity/Q7572055,Sozaboy: A Novel in Rotten English,1985-01-01T00:00:00Z,,Ken Saro-Wiwa
http://www.wikidata.org/entity/Q7637499,,,,Herman Raucher
http://www.wikidata.org/entity/Q7723033,,1989-01-01T00:00:00Z,,Lindsay Clarke
http://www.wikidata.org/entity/Q7727308,The Concubine,1966-01-01T00:00:00Z,,Elechi Amadi
http://www.wikidata.org/entity/Q7736237,,1958-01-01T00:00:00Z,,Jim Thompson
http://www.wikidata.org/entity/Q7753070,The namesake,2003-01-01T00:00:00Z,,Jhumpa Lahiri
http://www.wikidata.org/entity/Q7835565,Trapeze,2012-01-01T00:00:00Z,,Simon Mawer
