roman,titreLabel,authorLabel
http://www.wikidata.org/entity/Q16654895,Les Cordes-de-bois,Antonine Maillet
http://www.wikidata.org/entity/Q16666906,,Vera Kamsha
http://www.wikidata.org/entity/Q16667070,,
http://www.wikidata.org/entity/Q16690670,,
http://www.wikidata.org/entity/Q51623171,,Miyuki Miyabe
http://www.wikidata.org/entity/Q53152820,Children of Blood and Bone,Tomi Adeyemi
http://www.wikidata.org/entity/Q54339489,Nullzeit,Juli Zeh
http://www.wikidata.org/entity/Q54461696,Poslední paní Hlohovská,Karolina Světlá
http://www.wikidata.org/entity/Q54461729,Potulný život,František Gellner
http://www.wikidata.org/entity/Q54462823,Veliké dni,Rudolf Medek
http://www.wikidata.org/entity/Q55521842,,
http://www.wikidata.org/entity/Q55598400,,Sylvain Prudhomme
http://www.wikidata.org/entity/Q56306166,,Steve Tesich
http://www.wikidata.org/entity/Q56311122,,Michel Lebrun
http://www.wikidata.org/entity/Q56338065,,Dave Rudden
http://www.wikidata.org/entity/Q56339173,,Dave Rudden
http://www.wikidata.org/entity/Q56360180,,Oleksa Slissarenko
http://www.wikidata.org/entity/Q56547750,,Edmund Wnuk-Lipiński
http://www.wikidata.org/entity/Q56739677,Mord założycielski,Edmund Wnuk-Lipiński
http://www.wikidata.org/entity/Q57886131,La memòria de les formigues,Iolanda Batallé i Prats
http://www.wikidata.org/entity/Q60296447,The Secret Lives of Baba Segi's Wives,Lola Shoneyin
http://www.wikidata.org/entity/Q60648054,Mustanmeren hauta,Clive Cussler
http://www.wikidata.org/entity/Q60648054,Mustanmeren hauta,Dirk Cussler
http://www.wikidata.org/entity/Q60748894,The Incendiaries,R. O. Kwon
http://www.wikidata.org/entity/Q60749276,घामका पाइलाहरू,Dhanush Chandra Gautam
http://www.wikidata.org/entity/Q60765582,,Rachel Cusk
http://www.wikidata.org/entity/Q60985409,,
http://www.wikidata.org/entity/Q60997349,サイレント・ブレス,Kyoko Minami
http://www.wikidata.org/entity/Q61071678,,Orhan Kemal
http://www.wikidata.org/entity/Q61086913,,Vladimir Colin
http://www.wikidata.org/entity/Q61118017,Камертон Дажбога,Oles Berdnyk
http://www.wikidata.org/entity/Q61132998,,Nhật Ánh Nguyêñ
http://www.wikidata.org/entity/Q61357131,,Josy Braun
http://www.wikidata.org/entity/Q61388702,,Aino Kallas
http://www.wikidata.org/entity/Q61943116,,Sarah Joseph
http://www.wikidata.org/entity/Q63510067,,Michele Serra
http://www.wikidata.org/entity/Q64156641,,Mohammed Khaïr-Eddine
http://www.wikidata.org/entity/Q64348137,,
http://www.wikidata.org/entity/Q64711674,,Humayun Ahmed
http://www.wikidata.org/entity/Q65047836,French Exit,Patrick deWitt
http://www.wikidata.org/entity/Q65159753,Chochoły,Wit Szostak
